A,B,C,D,R,Y
0,0,0,0,1,32
0,0,0,1,1,35
0,0,1,0,1,29
0,0,1,1,1,40
0,1,0,0,1,26
0,1,0,1,1,80
0,1,1,0,1,36
0,1,1,1,1,105
1,0,0,0,1,47
1,0,0,1,1,63
1,0,1,0,1,51
1,0,1,1,1,64
1,1,0,0,1,61
1,1,0,1,1,100
1,1,1,0,1,76
1,1,1,1,1,90
0,0,0,0,2,43
0,0,0,1,2,42
0,0,1,0,2,39
0,0,1,1,2,44
0,1,0,0,2,36
0,1,0,1,2,68
0,1,1,0,2,31
0,1,1,1,2,99
1,0,0,0,2,41
1,0,0,1,2,41
1,0,1,0,2,34
1,0,1,1,2,39
1,1,0,0,2,76
1,1,0,1,2,68
1,1,1,0,2,65
1,1,1,1,2,82
0,0,0,0,3,27
0,0,0,1,3,56
0,0,1,0,3,27
0,0,1,1,3,53
0,1,0,0,3,24
0,1,0,1,3,75
0,1,1,0,3,32
0,1,1,1,3,74
1,0,0,0,3,48
1,0,0,1,3,60
1,0,1,0,3,40
1,0,1,1,3,75
1,1,0,0,3,56
1,1,0,1,3,87
1,1,1,0,3,70
1,1,1,1,3,89
0,0,0,0,4,19
0,0,0,1,4,35
0,0,1,0,4,28
0,0,1,1,4,36
0,1,0,0,4,18
0,1,0,1,4,67
0,1,1,0,4,30
0,1,1,1,4,73
1,0,0,0,4,45
1,0,0,1,4,53
1,0,1,0,4,48
1,0,1,1,4,72
1,1,0,0,4,64
1,1,0,1,4,66
1,1,1,0,4,63
1,1,1,1,4,101
